tile_name,area_ha_projected,distance_to_2022_m
dop20rgbi_32_356_5504_2_rp_2023_011_020,0.012085413707911198,2217.905414945371
dop20rgbi_32_356_5504_2_rp_2023_011_020,0.03788312398319626,2197.758899509763
dop20rgbi_32_356_5504_2_rp_2023_011_020,0.2749710860746842,2194.081182932526
dop20rgbi_32_356_5504_2_rp_2023_011_020,0.052283219848434065,2181.7536357184335
dop20rgbi_32_356_5504_2_rp_2023_011_020,0.05561612799928762,2276.831377135545
dop20rgbi_32_356_5504_2_rp_2023_012_010,0.09003089631717381,3171.0707090363103
dop20rgbi_32_356_5504_2_rp_2023_012_011,0.24058144541253138,3008.3217912717705
dop20rgbi_32_356_5504_2_rp_2023_012_012,0.10111968290862139,2925.935924519335
dop20rgbi_32_356_5504_2_rp_2023_012_012,0.24201048785568613,2917.7495963385354
dop20rgbi_32_356_5504_2_rp_2023_012_012,0.004660477470687761,2915.0934164397104
dop20rgbi_32_356_5504_2_rp_2023_012_012,0.1660657286421001,2928.61321292356
dop20rgbi_32_356_5504_2_rp_2023_012_012,0.000291223032568921,2912.1222061738945
dop20rgbi_32_356_5504_2_rp_2023_012_012,0.005705569643847363,2926.389103805285
dop20rgbi_32_356_5504_2_rp_2023_012_014,0.09967293973188296,2720.294101723821
dop20rgbi_32_356_5504_2_rp_2023_012_014,0.3283587914570712,2735.290909193573
dop20rgbi_32_356_5504_2_rp_2023_012_017,0.13598012754078664,2443.1781598714438
dop20rgbi_32_356_5504_2_rp_2023_012_017,0.3788543289451375,2475.129021995915
dop20rgbi_32_356_5504_2_rp_2023_012_017,0.0018479624512513198,2552.406553638456
dop20rgbi_32_356_5504_2_rp_2023_012_017,0.09541231428180534,2457.0830498686714
dop20rgbi_32_356_5504_2_rp_2023_012_018,0.6001683635667915,2348.578566044393
dop20rgbi_32_356_5504_2_rp_2023_012_018,0.06739126399992756,2430.234911977653
dop20rgbi_32_356_5504_2_rp_2023_012_019,0.226397887998019,2319.346977039381
dop20rgbi_32_356_5504_2_rp_2023_012_019,0.0686380181935525,2269.547906046533
dop20rgbi_32_356_5504_2_rp_2023_012_019,0.41375307945346185,2247.2205054063797
dop20rgbi_32_356_5504_2_rp_2023_012_020,0.08226306032870023,2246.0496858061924
dop20rgbi_32_356_5504_2_rp_2023_012_020,0.6500818787282543,2154.0659228368427
dop20rgbi_32_356_5504_2_rp_2023_012_020,0.07226494131114375,2166.172224543
dop20rgbi_32_356_5504_2_rp_2023_012_020,0.014875226225618224,2174.194727610136
dop20rgbi_32_356_5504_2_rp_2023_013_004,0.03556195588357838,3667.755858666606
dop20rgbi_32_356_5504_2_rp_2023_013_005,0.3924954448612348,3574.954492925239
dop20rgbi_32_356_5504_2_rp_2023_013_006,0.6009463347335259,3471.3109915104224
dop20rgbi_32_356_5504_2_rp_2023_013_007,0.23339698217259183,3407.7896859699918
dop20rgbi_32_356_5504_2_rp_2023_013_007,0.1290169305834231,3373.425558655954
dop20rgbi_32_356_5504_2_rp_2023_013_008,0.0023812391498658995,3278.82942531023
dop20rgbi_32_356_5504_2_rp_2023_013_008,0.5903136977843559,3294.8607312634545
dop20rgbi_32_356_5504_2_rp_2023_013_009,0.38408910804026625,3178.0497163852187
dop20rgbi_32_356_5504_2_rp_2023_013_009,0.1044250346700112,3200.828501141313
dop20rgbi_32_356_5504_2_rp_2023_013_009,0.010689767681526442,3285.9072697499473
dop20rgbi_32_356_5504_2_rp_2023_013_009,0.003368581488578134,3199.4907251545674
dop20rgbi_32_356_5504_2_rp_2023_013_011,0.9298051311153591,2983.2867780083184
dop20rgbi_32_356_5504_2_rp_2023_013_013,0.5621968784533012,2822.020233142279
dop20rgbi_32_356_5504_2_rp_2023_013_013,0.10244682679653022,2789.2651361713747
dop20rgbi_32_356_5504_2_rp_2023_013_014,0.3252971355298196,2706.1148932323895
dop20rgbi_32_356_5504_2_rp_2023_013_014,0.5428539004767389,2692.5824035434553
dop20rgbi_32_356_5504_2_rp_2023_013_015,0.6372869196080301,2601.6595630322736
dop20rgbi_32_356_5504_2_rp_2023_013_015,0.30219948693053766,2596.1509971264236
dop20rgbi_32_356_5504_2_rp_2023_013_016,0.09806395276966041,2500.9657277403508
dop20rgbi_32_356_5504_2_rp_2023_013_016,0.11593890212518244,2504.669127797629
dop20rgbi_32_356_5504_2_rp_2023_013_016,0.5025880850534834,2525.8224687142847
dop20rgbi_32_356_5504_2_rp_2023_013_016,0.0285292068614486,2559.993635659617
dop20rgbi_32_356_5504_2_rp_2023_013_017,0.19731810565109717,2458.5137241196912
dop20rgbi_32_356_5504_2_rp_2023_013_017,0.20487689925026975,2452.066231583434
dop20rgbi_32_356_5504_2_rp_2023_013_017,0.008539896455572167,2516.677314050794
dop20rgbi_32_356_5504_2_rp_2023_013_018,0.00180799999904749,2357.998649075448
dop20rgbi_32_356_5504_2_rp_2023_013_018,0.03153600000030222,2355.6402507510675
dop20rgbi_32_356_5504_2_rp_2023_013_019,0.3753679999977957,2213.5943620991825
dop20rgbi_32_356_5504_2_rp_2023_014_003,0.2639399791299542,3748.332962763248
dop20rgbi_32_356_5504_2_rp_2023_014_005,0.03447392449823133,3610.9738916266715
dop20rgbi_32_356_5504_2_rp_2023_014_005,0.029161544046248683,3635.87826577632
dop20rgbi_32_356_5504_2_rp_2023_014_005,0.004806184424897772,3641.0025162650013
dop20rgbi_32_356_5504_2_rp_2023_014_011,0.7019203528308683,2961.4185789650546
dop20rgbi_32_356_5504_2_rp_2023_014_011,0.0029757032585264304,3074.9327261388225
dop20rgbi_32_356_5504_2_rp_2023_014_012,0.9189706419077242,2873.4148927576975
